Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,calc. pI
PDE8A,829,109,8,8,7,O60658,15,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A OS=Homo sapiens GN=PDE8A PE=1 SV=2",PDE8A,93.2,1798,6.11
RBM15B,890,168,8,8,6,Q8NDT2,13,Putative RNA-binding protein 15B OS=Homo sapiens GN=RBM15B PE=1 SV=3,RBM15B,97.1,1795,9.85
GAS2L3,694,107,11,11,11,Q86XJ1,22,GAS2-like protein 3 OS=Homo sapiens GN=GAS2L3 PE=1 SV=1,GAS2L3,75.2,1792,9.63
EEF1D,281,62,3,3,3,P29692,17,Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5,EEF1D,31.1,1788,5.01
CDC42EP1,391,87,5,5,5,Q00587,21,Cdc42 effector protein 1 OS=Homo sapiens GN=CDC42EP1 PE=1 SV=1,CDC42EP1,40.3,1786,7.15
ORC3,711,85,11,11,11,Q9UBD5,19,Origin recognition complex subunit 3 OS=Homo sapiens GN=ORC3 PE=1 SV=1,ORC3,82.2,1784,7.61
AKAP8L,646,105,8,8,8,Q9ULX6,18,A-kinase anchor protein 8-like OS=Homo sapiens GN=AKAP8L PE=1 SV=3,AKAP8L,71.6,1781,5.07
TANC2,1990,45,5,5,5,Q9HCD6,3,Protein TANC2 OS=Homo sapiens GN=TANC2 PE=1 SV=3,TANC2,219.5,1766,8.07
RAB9A,201,76,6,6,6,P51151,38,Ras-related protein Rab-9A OS=Homo sapiens GN=RAB9A PE=1 SV=1,RAB9A,22.8,1763,5.47
DNAJB6,326,49,4,4,4,O75190,14,DnaJ homolog subfamily B member 6 OS=Homo sapiens GN=DNAJB6 PE=1 SV=2,DNAJB6,36.1,1757,9.16
CERS2,380,72,2,2,2,Q96G23,9,Ceramide synthase 2 OS=Homo sapiens GN=CERS2 PE=1 SV=1,CERS2,44.8,1748,8.98
ARHGAP21,1957,93,9,9,9,Q5T5U3,7,Rho GTPase-activating protein 21 OS=Homo sapiens GN=ARHGAP21 PE=1 SV=1,ARHGAP21,217.2,1741,7.8
RPF2,306,111,6,6,6,Q9H7B2,26,Ribosome production factor 2 homolog OS=Homo sapiens GN=RPF2 PE=1 SV=2,RPF2,35.6,1738,9.99
UBAP2,1119,64,5,5,5,Q5T6F2,5,Ubiquitin-associated protein 2 OS=Homo sapiens GN=UBAP2 PE=1 SV=1,UBAP2,117.0,1736,7.34
LDHA,332,70,5,5,5,P00338,16,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2,LDHA,36.7,1723,8.27
MTBP,904,106,10,10,10,Q96DY7,15,Mdm2-binding protein OS=Homo sapiens GN=MTBP PE=1 SV=1,MTBP,102.1,1719,7.77
KIF22,665,51,9,9,9,Q14807,20,Kinesin-like protein KIF22 OS=Homo sapiens GN=KIF22 PE=1 SV=5,KIF22,73.2,1702,9.45
BARX1,254,63,6,6,6,Q9HBU1,31,Homeobox protein BarH-like 1 OS=Homo sapiens GN=BARX1 PE=1 SV=2,BARX1,27.3,1700,9.7
CDC40,579,99,7,7,7,O60508,15,Pre-mRNA-processing factor 17 OS=Homo sapiens GN=CDC40 PE=1 SV=1,CDC40,65.5,1699,7.06
MAP7D3,876,76,9,9,9,Q8IWC1,14,MAP7 domain-containing protein 3 OS=Homo sapiens GN=MAP7D3 PE=1 SV=2,MAP7D3,98.4,1696,9.32
DYRK1A,763,54,8,8,8,Q13627,14,Dual specificity tyrosine-phosphorylation-regulated kinase 1A OS=Homo sapiens GN=DYRK1A PE=1 SV=2,DYRK1A,85.5,1687,8.75
CDK1,297,102,5,5,4,P06493,19,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=3,CDK1,34.1,1680,8.4
POP4,220,87,2,2,2,O95707,10,Ribonuclease P protein subunit p29 OS=Homo sapiens GN=POP4 PE=1 SV=2,POP4,25.4,1667,10.07
SLC25A19,320,129,7,7,7,Q9HC21,22,Mitochondrial thiamine pyrophosphate carrier OS=Homo sapiens GN=SLC25A19 PE=1 SV=1,SLC25A19,35.5,1664,9.55
JADE1,842,79,12,12,10,Q6IE81,18,Protein Jade-1 OS=Homo sapiens GN=JADE1 PE=1 SV=1,JADE1,95.5,1663,7.91
TRIOBP,2365,132,5,5,3,Q9H2D6,2,TRIO and F-actin-binding protein OS=Homo sapiens GN=TRIOBP PE=1 SV=3,TRIOBP,261.2,1658,8.48
EHMT1,1298,116,7,7,7,Q9H9B1,8,Histone-lysine N-methyltransferase EHMT1 OS=Homo sapiens GN=EHMT1 PE=1 SV=4,EHMT1,141.4,1653,5.76
SFN,248,64,6,6,3,P31947,26,14-3-3 protein sigma OS=Homo sapiens GN=SFN PE=1 SV=1,SFN,27.8,1643,4.74
ABCF1,845,65,3,3,3,Q8NE71,7,ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2,ABCF1,95.9,1631,6.8
CDIPT,213,52,3,3,3,O14735,17,CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens GN=CDIPT PE=1 SV=1,CDIPT,23.5,1622,8.03
NDUFS3,264,47,3,3,3,O75489,14,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1",NDUFS3,30.2,1618,7.5
NUP160,1436,100,11,11,11,Q12769,11,Nuclear pore complex protein Nup160 OS=Homo sapiens GN=NUP160 PE=1 SV=3,NUP160,162.0,1611,5.5
PROCR,238,73,4,4,4,Q9UNN8,21,Endothelial protein C receptor OS=Homo sapiens GN=PROCR PE=1 SV=1,PROCR,26.7,1605,7.18
UTP23,249,59,4,4,4,Q9BRU9,26,rRNA-processing protein UTP23 homolog OS=Homo sapiens GN=UTP23 PE=1 SV=2,UTP23,28.4,1597,10.07
YWHAB,246,73,6,6,3,P31946,31,14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3,YWHAB,28.1,1592,4.83
C16orf80,193,85,6,6,6,Q9Y6A4,34,UPF0468 protein C16orf80 OS=Homo sapiens GN=C16orf80 PE=1 SV=1,C16orf80,22.8,1590,9.76
ALX1,326,92,7,7,7,Q15699,22,ALX homeobox protein 1 OS=Homo sapiens GN=ALX1 PE=1 SV=2,ALX1,36.9,1588,8.57
PPP1R12C,782,40,4,4,4,Q9BZL4,7,Protein phosphatase 1 regulatory subunit 12C OS=Homo sapiens GN=PPP1R12C PE=1 SV=1,PPP1R12C,84.8,1585,5.57
ATP2B1,1258,57,4,4,2,P20020,5,Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens GN=ATP2B1 PE=1 SV=3,ATP2B1,138.7,1584,6.04
PDCD6,191,116,3,3,3,O75340,13,Programmed cell death protein 6 OS=Homo sapiens GN=PDCD6 PE=1 SV=1,PDCD6,21.9,1568,5.4
SLC16A1,500,86,3,3,3,P53985,11,Monocarboxylate transporter 1 OS=Homo sapiens GN=SLC16A1 PE=1 SV=3,SLC16A1,53.9,1566,8.66
FAM208A,1670,91,15,15,15,Q9UK61,12,Protein FAM208A OS=Homo sapiens GN=FAM208A PE=1 SV=3,FAM208A,188.9,1562,5.8
CDK16,496,78,3,3,2,Q00536,5,Cyclin-dependent kinase 16 OS=Homo sapiens GN=CDK16 PE=1 SV=1,CDK16,55.7,1551,7.62
DLST,453,80,7,7,7,P36957,19,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLST PE=1 SV=4",DLST,48.7,1543,8.95
EARS2,523,74,7,7,7,Q5JPH6,18,"Probable glutamate--tRNA ligase, mitochondrial OS=Homo sapiens GN=EARS2 PE=1 SV=2",EARS2,58.7,1538,8.76
TONSL,1378,90,11,11,11,Q96HA7,11,Tonsoku-like protein OS=Homo sapiens GN=TONSL PE=1 SV=2,TONSL,150.8,1527,6.42
EXOSC2,293,53,4,4,4,Q13868,25,Exosome complex component RRP4 OS=Homo sapiens GN=EXOSC2 PE=1 SV=2,EXOSC2,32.8,1526,7.5
HTATSF1,755,107,8,8,8,O43719,12,HIV Tat-specific factor 1 OS=Homo sapiens GN=HTATSF1 PE=1 SV=1,HTATSF1,85.8,1526,4.4
PRKAR1A,381,97,8,8,8,P10644,30,cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens GN=PRKAR1A PE=1 SV=1,PRKAR1A,43.0,1517,5.35
NUP85,656,64,7,7,7,Q9BW27,14,Nuclear pore complex protein Nup85 OS=Homo sapiens GN=NUP85 PE=1 SV=1,NUP85,75.0,1517,5.55
HDGFRP2,671,97,4,4,4,Q7Z4V5,9,Hepatoma-derived growth factor-related protein 2 OS=Homo sapiens GN=HDGFRP2 PE=1 SV=1,HDGFRP2,74.3,1516,7.49
DDX39A,427,105,8,8,8,O00148,25,ATP-dependent RNA helicase DDX39A OS=Homo sapiens GN=DDX39A PE=1 SV=2,DDX39A,49.1,1512,5.68
XP32,250,52,2,2,2,Q5T750,8,Skin-specific protein 32 OS=Homo sapiens GN=XP32 PE=1 SV=1,XP32,26.2,1505,7.97
PYCR1,319,79,6,6,5,P32322,29,"Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens GN=PYCR1 PE=1 SV=2",PYCR1,33.3,1499,7.61
TMCO1,188,68,3,3,3,Q9UM00,17,Transmembrane and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=TMCO1 PE=1 SV=1,TMCO1,21.2,1497,9.74
RAB13,203,65,4,4,2,P51153,21,Ras-related protein Rab-13 OS=Homo sapiens GN=RAB13 PE=1 SV=1,RAB13,22.8,1496,9.19
CAAP1,361,46,3,3,3,Q9H8G2,11,Caspase activity and apoptosis inhibitor 1 OS=Homo sapiens GN=CAAP1 PE=1 SV=2,CAAP1,38.3,1489,4.72
CMSS1,279,129,7,7,7,Q9BQ75,25,Protein CMSS1 OS=Homo sapiens GN=CMSS1 PE=1 SV=2,CMSS1,31.9,1481,9.19
P01966,142,54,4,4,4,P01966,46,SWISS-PROT:P01966 (Bos taurus) Hemoglobin subunit alpha,,15.2,1475,8.44
C9orf142,204,39,4,4,4,Q9BUH6,25,Uncharacterized protein C9orf142 OS=Homo sapiens GN=C9orf142 PE=1 SV=2,C9orf142,21.6,1471,5.48
PITX1,314,48,4,4,4,P78337,18,Pituitary homeobox 1 OS=Homo sapiens GN=PITX1 PE=1 SV=2,PITX1,34.1,1470,8.98
C18orf21,220,38,2,2,2,Q32NC0,10,UPF0711 protein C18orf21 OS=Homo sapiens GN=C18orf21 PE=1 SV=1,C18orf21,24.8,1466,10.26
ZRANB2,330,58,7,7,7,O95218,22,Zinc finger Ran-binding domain-containing protein 2 OS=Homo sapiens GN=ZRANB2 PE=1 SV=2,ZRANB2,37.4,1460,10.01
C8orf33,229,39,2,2,2,Q9H7E9,11,UPF0488 protein C8orf33 OS=Homo sapiens GN=C8orf33 PE=1 SV=1,C8orf33,25.0,1459,9.95
RTCB,505,134,6,6,6,Q9Y3I0,12,tRNA-splicing ligase RtcB homolog OS=Homo sapiens GN=RTCB PE=1 SV=1,RTCB,55.2,1457,7.23
NDUFAF4,175,42,2,2,2,Q9P032,11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4 OS=Homo sapiens GN=NDUFAF4 PE=1 SV=1,NDUFAF4,20.3,1457,8.82
TBC1D24,559,105,7,7,7,Q9ULP9,17,TBC1 domain family member 24 OS=Homo sapiens GN=TBC1D24 PE=1 SV=2,TBC1D24,62.9,1455,7.36
KIAA1429,1812,68,6,6,6,Q69YN4,4,Protein virilizer homolog OS=Homo sapiens GN=KIAA1429 PE=1 SV=2,KIAA1429,201.9,1446,5.01
PIK3C2A,1686,102,12,12,12,O00443,8,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens GN=PIK3C2A PE=1 SV=2,PIK3C2A,190.6,1445,8.02
TMEM165,324,58,2,2,2,Q9HC07,13,Transmembrane protein 165 OS=Homo sapiens GN=TMEM165 PE=1 SV=1,TMEM165,34.9,1445,7.02
IMP3,184,49,3,3,3,Q9NV31,21,U3 small nucleolar ribonucleoprotein protein IMP3 OS=Homo sapiens GN=IMP3 PE=1 SV=1,IMP3,21.8,1435,9.5
HM13,377,53,5,5,5,Q8TCT9,15,Minor histocompatibility antigen H13 OS=Homo sapiens GN=HM13 PE=1 SV=1,HM13,41.5,1433,6.43
PI4KA,2044,89,15,15,15,P42356,11,Phosphatidylinositol 4-kinase alpha OS=Homo sapiens GN=PI4KA PE=1 SV=3,PI4KA,231.2,1417,6.87
GANAB,944,39,2,2,2,Q14697,3,Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3,GANAB,106.8,1416,6.14
CDYL,598,47,6,6,6,Q9Y232,13,Chromodomain Y-like protein OS=Homo sapiens GN=CDYL PE=1 SV=2,CDYL,66.4,1404,9.45
THEM6,208,66,4,4,4,Q8WUY1,27,Protein THEM6 OS=Homo sapiens GN=THEM6 PE=1 SV=2,THEM6,23.9,1396,9.55
TCF12,682,77,7,7,7,Q99081,18,Transcription factor 12 OS=Homo sapiens GN=TCF12 PE=1 SV=1,TCF12,72.9,1392,7.02
SETD2,2564,55,4,4,4,Q9BYW2,2,Histone-lysine N-methyltransferase SETD2 OS=Homo sapiens GN=SETD2 PE=1 SV=3,SETD2,287.4,1384,6.14
MRPS22,360,74,6,6,6,P82650,23,"28S ribosomal protein S22, mitochondrial OS=Homo sapiens GN=MRPS22 PE=1 SV=1",MRPS22,41.3,1384,7.9
SMC3,1217,58,8,8,8,Q9UQE7,9,Structural maintenance of chromosomes protein 3 OS=Homo sapiens GN=SMC3 PE=1 SV=2,SMC3,141.5,1379,7.18
CIR1,450,93,5,5,5,Q86X95,13,Corepressor interacting with RBPJ 1 OS=Homo sapiens GN=CIR1 PE=1 SV=1,CIR1,52.3,1376,9.86
KPNA6,536,73,4,4,4,O60684,9,Importin subunit alpha-7 OS=Homo sapiens GN=KPNA6 PE=1 SV=1,KPNA6,60.0,1375,4.98
VDAC2,294,83,7,7,7,P45880,35,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens GN=VDAC2 PE=1 SV=2,VDAC2,31.5,1372,7.56
UHRF1,793,54,6,6,6,Q96T88,10,E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens GN=UHRF1 PE=1 SV=1,UHRF1,89.8,1360,7.56
RDH13,331,36,3,3,3,Q8NBN7,17,Retinol dehydrogenase 13 OS=Homo sapiens GN=RDH13 PE=1 SV=2,RDH13,35.9,1347,8.1
RSPRY1,576,66,6,6,6,Q96DX4,19,RING finger and SPRY domain-containing protein 1 OS=Homo sapiens GN=RSPRY1 PE=2 SV=1,RSPRY1,64.1,1337,5.57
IFITM3,133,37,2,2,2,Q01628,31,Interferon-induced transmembrane protein 3 OS=Homo sapiens GN=IFITM3 PE=1 SV=2,IFITM3,14.6,1331,7.01
MRPL4,311,38,2,2,2,Q9BYD3,11,"39S ribosomal protein L4, mitochondrial OS=Homo sapiens GN=MRPL4 PE=1 SV=1",MRPL4,34.9,1324,9.72
MSL1,614,74,4,4,4,Q68DK7,10,Male-specific lethal 1 homolog OS=Homo sapiens GN=MSL1 PE=1 SV=3,MSL1,67.1,1318,8.92
SCAF1,1312,52,5,5,5,Q9H7N4,6,"Splicing factor, arginine/serine-rich 19 OS=Homo sapiens GN=SCAF1 PE=1 SV=3",SCAF1,139.2,1312,9.25
DNASE1L1,302,48,8,8,8,P49184,49,Deoxyribonuclease-1-like 1 OS=Homo sapiens GN=DNASE1L1 PE=1 SV=1,DNASE1L1,33.9,1311,5.74
JRKL,524,57,7,7,7,Q9Y4A0,20,Jerky protein homolog-like OS=Homo sapiens GN=JRKL PE=2 SV=2,JRKL,59.9,1310,8.09
NDUFA4,81,79,4,4,4,O00483,47,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4 OS=Homo sapiens GN=NDUFA4 PE=1 SV=1,NDUFA4,9.4,1307,9.38
INTS5,1019,96,8,8,8,Q6P9B9,9,Integrator complex subunit 5 OS=Homo sapiens GN=INTS5 PE=1 SV=1,INTS5,107.9,1305,7.05
MINA,465,59,6,6,6,Q8IUF8,19,Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA OS=Homo sapiens GN=MINA PE=1 SV=1,MINA,52.8,1303,6.7
CGA,116,66,2,2,2,P01215,12,Glycoprotein hormones alpha chain OS=Homo sapiens GN=CGA PE=1 SV=1,CGA,13.1,1296,8.19
FAM207A,230,70,5,5,5,Q9NSI2,30,Protein FAM207A OS=Homo sapiens GN=FAM207A PE=1 SV=2,FAM207A,25.4,1293,11.08
NCOA5,579,45,6,6,6,Q9HCD5,15,Nuclear receptor coactivator 5 OS=Homo sapiens GN=NCOA5 PE=1 SV=2,NCOA5,65.5,1287,9.6
CYC1,325,48,5,5,5,P08574,24,"Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens GN=CYC1 PE=1 SV=3",CYC1,35.4,1281,9.0
NIPBL,2804,68,9,9,9,Q6KC79,4,Nipped-B-like protein OS=Homo sapiens GN=NIPBL PE=1 SV=2,NIPBL,315.9,1280,7.91
TRRAP,3859,49,9,9,9,Q9Y4A5,3,Transformation/transcription domain-associated protein OS=Homo sapiens GN=TRRAP PE=1 SV=3,TRRAP,437.3,1273,8.19
CPSF2,782,59,15,15,15,Q9P2I0,24,Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens GN=CPSF2 PE=1 SV=2,CPSF2,88.4,1271,5.11
ISG20L2,353,58,5,5,5,Q9H9L3,20,Interferon-stimulated 20 kDa exonuclease-like 2 OS=Homo sapiens GN=ISG20L2 PE=1 SV=1,ISG20L2,39.1,1271,9.94
PIAS1,651,44,2,2,2,O75925,6,E3 SUMO-protein ligase PIAS1 OS=Homo sapiens GN=PIAS1 PE=1 SV=2,PIAS1,71.8,1256,7.3
CHMP1A,196,115,4,4,4,Q9HD42,17,Charged multivesicular body protein 1a OS=Homo sapiens GN=CHMP1A PE=1 SV=1,CHMP1A,21.7,1252,8.06
FADS1,444,81,8,8,7,O60427,25,Fatty acid desaturase 1 OS=Homo sapiens GN=FADS1 PE=1 SV=3,FADS1,51.9,1248,8.87
MTFR1L,292,71,5,5,5,Q9H019,26,Mitochondrial fission regulator 1-like OS=Homo sapiens GN=MTFR1L PE=1 SV=2,MTFR1L,31.9,1246,6.1
CANX,592,57,7,7,7,P27824,15,Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2,CANX,67.5,1246,4.6
XPO5,1204,44,2,2,2,Q9HAV4,2,Exportin-5 OS=Homo sapiens GN=XPO5 PE=1 SV=1,XPO5,136.2,1246,5.8
TNRC6B,1833,45,5,5,5,Q9UPQ9,4,Trinucleotide repeat-containing gene 6B protein OS=Homo sapiens GN=TNRC6B PE=1 SV=4,TNRC6B,193.9,1245,6.76
ARNTL,626,86,9,9,9,O00327,17,Aryl hydrocarbon receptor nuclear translocator-like protein 1 OS=Homo sapiens GN=ARNTL PE=1 SV=2,ARNTL,68.7,1242,6.86
ZDHHC5,715,89,8,8,8,Q9C0B5,17,Palmitoyltransferase ZDHHC5 OS=Homo sapiens GN=ZDHHC5 PE=1 SV=2,ZDHHC5,77.5,1219,9.01
SLC35F6,371,49,2,2,2,Q8N357,7,Solute carrier family 35 member F6 OS=Homo sapiens GN=SLC35F6 PE=1 SV=1,SLC35F6,40.2,1216,6.93
QSER1,1735,84,9,9,9,Q2KHR3,8,Glutamine and serine-rich protein 1 OS=Homo sapiens GN=QSER1 PE=1 SV=3,QSER1,189.9,1210,7.08
PRPF31,499,47,4,4,4,Q8WWY3,15,U4/U6 small nuclear ribonucleoprotein Prp31 OS=Homo sapiens GN=PRPF31 PE=1 SV=2,PRPF31,55.4,1198,5.78
ZNF281,895,78,4,4,4,Q9Y2X9,9,Zinc finger protein 281 OS=Homo sapiens GN=ZNF281 PE=1 SV=1,ZNF281,96.9,1198,8.48
AHNAK2,5795,99,10,10,9,Q8IVF2,9,Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2,AHNAK2,616.2,1192,5.36
MED23,1368,28,2,2,2,Q9ULK4,2,Mediator of RNA polymerase II transcription subunit 23 OS=Homo sapiens GN=MED23 PE=1 SV=2,MED23,156.4,1191,7.4
RCN2,317,34,2,2,2,Q14257,11,Reticulocalbin-2 OS=Homo sapiens GN=RCN2 PE=1 SV=1,RCN2,36.9,1188,4.4
SET,278,68,5,5,5,Q01105-2,24,Isoform 2 of Protein SET OS=Homo sapiens GN=SET,SET,32.2,1186,4.22
COPB1,953,84,6,6,6,P53618,9,Coatomer subunit beta OS=Homo sapiens GN=COPB1 PE=1 SV=3,COPB1,107.1,1168,6.05
LGALS1,135,65,4,4,4,P09382,32,Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2,LGALS1,14.7,1164,5.5
SREK1IP1,155,34,3,3,3,Q8N9Q2,28,Protein SREK1IP1 OS=Homo sapiens GN=SREK1IP1 PE=1 SV=1,SREK1IP1,18.2,1161,9.85
METTL17,456,70,5,5,5,Q9H7H0,11,"Methyltransferase-like protein 17, mitochondrial OS=Homo sapiens GN=METTL17 PE=1 SV=1",METTL17,50.7,1159,9.33
RPP30,268,65,6,6,6,P78346,28,Ribonuclease P protein subunit p30 OS=Homo sapiens GN=RPP30 PE=1 SV=1,RPP30,29.3,1156,8.91
DOT1L,1739,58,7,7,7,Q8TEK3,5,"Histone-lysine N-methyltransferase, H3 lysine-79 specific OS=Homo sapiens GN=DOT1L PE=1 SV=2",DOT1L,184.7,1152,9.33
ERLIN1,346,57,4,4,3,O75477,15,Erlin-1 OS=Homo sapiens GN=ERLIN1 PE=1 SV=1,ERLIN1,38.9,1152,7.87
MTA2,668,65,4,4,3,O94776,6,Metastasis-associated protein MTA2 OS=Homo sapiens GN=MTA2 PE=1 SV=1,MTA2,75.0,1150,9.66
FOXF1,379,53,5,5,3,Q12946,19,Forkhead box protein F1 OS=Homo sapiens GN=FOXF1 PE=2 SV=2,FOXF1,40.1,1148,9.1
DHX37,1157,81,11,11,11,Q8IY37,11,Probable ATP-dependent RNA helicase DHX37 OS=Homo sapiens GN=DHX37 PE=1 SV=1,DHX37,129.5,1145,8.1
TPX2,747,96,8,8,8,Q9ULW0,14,Targeting protein for Xklp2 OS=Homo sapiens GN=TPX2 PE=1 SV=2,TPX2,85.6,1141,9.23
PKP2,881,63,6,6,5,Q99959,7,Plakophilin-2 OS=Homo sapiens GN=PKP2 PE=1 SV=2,PKP2,97.4,1138,9.33
CHCHD3,227,34,3,3,3,Q9NX63,14,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial OS=Homo sapiens GN=CHCHD3 PE=1 SV=1",CHCHD3,26.1,1136,8.28
ARHGEF12,1544,57,10,10,10,Q9NZN5,9,Rho guanine nucleotide exchange factor 12 OS=Homo sapiens GN=ARHGEF12 PE=1 SV=1,ARHGEF12,173.1,1136,5.74
P02666,209,80,2,2,2,P02666,12,SWISS-PROT:P02666 Beta-casein - Bos taurus (Bovine).,,23.6,1131,5.19
ATP5J2,94,34,2,2,2,P56134,26,"ATP synthase subunit f, mitochondrial OS=Homo sapiens GN=ATP5J2 PE=1 SV=3",ATP5J2,10.9,1125,9.67
RGS19,217,84,3,3,3,P49795,22,Regulator of G-protein signaling 19 OS=Homo sapiens GN=RGS19 PE=1 SV=1,RGS19,24.6,1123,5.62
USP39,565,117,7,7,7,Q53GS9,17,U4/U6.U5 tri-snRNP-associated protein 2 OS=Homo sapiens GN=USP39 PE=1 SV=2,USP39,65.3,1122,8.91
KLF4,513,54,3,3,3,O43474,11,Krueppel-like factor 4 OS=Homo sapiens GN=KLF4 PE=1 SV=3,KLF4,54.6,1121,8.37
CLTB,229,68,6,6,6,P09497,22,Clathrin light chain B OS=Homo sapiens GN=CLTB PE=1 SV=1,CLTB,25.2,1119,4.64
VCP,806,76,4,4,4,P55072,6,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,VCP,89.3,1117,5.26
NEU3,428,51,2,2,2,Q9UQ49,6,Sialidase-3 OS=Homo sapiens GN=NEU3 PE=1 SV=1,NEU3,48.2,1111,7.17
UTP15,518,39,3,3,3,Q8TED0,6,U3 small nucleolar RNA-associated protein 15 homolog OS=Homo sapiens GN=UTP15 PE=1 SV=3,UTP15,58.4,1111,9.11
IGF2R,2491,59,6,6,6,P11717,4,Cation-independent mannose-6-phosphate receptor OS=Homo sapiens GN=IGF2R PE=1 SV=3,IGF2R,274.2,1103,5.94
DMAP1,467,31,4,4,4,Q9NPF5,16,DNA methyltransferase 1-associated protein 1 OS=Homo sapiens GN=DMAP1 PE=1 SV=1,DMAP1,53.0,1102,9.5
SIN3A,1273,119,17,17,17,Q96ST3,15,Paired amphipathic helix protein Sin3a OS=Homo sapiens GN=SIN3A PE=1 SV=2,SIN3A,145.1,1102,7.25
ACADM,421,49,4,4,4,P11310,10,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADM PE=1 SV=1",ACADM,46.6,1100,8.37
CCNY,341,63,6,6,5,Q8ND76,23,Cyclin-Y OS=Homo sapiens GN=CCNY PE=1 SV=2,CCNY,39.3,1092,7.2
SEC22B,215,64,3,3,3,O75396,15,Vesicle-trafficking protein SEC22b OS=Homo sapiens GN=SEC22B PE=1 SV=4,SEC22B,24.6,1090,6.92
LMAN1,510,94,8,8,8,P49257,24,Protein ERGIC-53 OS=Homo sapiens GN=LMAN1 PE=1 SV=2,LMAN1,57.5,1075,6.77
CAD,2225,88,4,4,2,P27708,2,CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3,CAD,242.8,1074,6.46
COPA,1224,62,7,7,7,P53621,7,Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2,COPA,138.3,1070,7.66
LMNB1,586,70,9,9,7,P20700,16,Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2,LMNB1,66.4,1065,5.16
BUD31,144,56,5,5,5,P41223,33,Protein BUD31 homolog OS=Homo sapiens GN=BUD31 PE=1 SV=2,BUD31,17.0,1065,8.82
JRK,520,79,7,7,7,O75564,22,Jerky protein homolog OS=Homo sapiens GN=JRK PE=1 SV=2,JRK,57.4,1057,8.15
RBM6,1123,70,7,7,6,P78332,6,RNA-binding protein 6 OS=Homo sapiens GN=RBM6 PE=1 SV=5,RBM6,128.6,1052,6.32
USP54,1684,57,11,11,11,Q70EL1,7,Inactive ubiquitin carboxyl-terminal hydrolase 54 OS=Homo sapiens GN=USP54 PE=1 SV=4,USP54,187.3,1050,7.28
YTHDF2,579,80,7,7,4,Q9Y5A9,13,YTH domain-containing family protein 2 OS=Homo sapiens GN=YTHDF2 PE=1 SV=2,YTHDF2,62.3,1046,8.79
POLR1E,481,51,5,5,5,Q9GZS1,19,DNA-directed RNA polymerase I subunit RPA49 OS=Homo sapiens GN=POLR1E PE=1 SV=2,POLR1E,53.9,1034,8.56
BBX,941,40,3,3,3,Q8WY36,3,HMG box transcription factor BBX OS=Homo sapiens GN=BBX PE=1 SV=1,BBX,105.1,1030,8.79
FBRS,487,77,6,6,6,Q9HAH7-1,19,Isoform 1 of Probable fibrosin-1 OS=Homo sapiens GN=FBRS,FBRS,51.8,1029,9.28
IRX4,545,49,6,6,6,P78413-2,15,Isoform 2 of Iroquois-class homeodomain protein IRX-4 OS=Homo sapiens GN=IRX4,IRX4,57.0,1028,6.74
